relative_path,quotation_number,qn_confidence,boq_status
2509W189\Price-2509W189  - ADAGE OFFER_AMBUJA DARLAGHAT- SULI CEMENT WORKS .txt,2509W189,HIGH,FOUND
2509W191\Q2509W191 -OFFER FOR GAS ANALYSER SYSTEM FOR FINOLEX INDUSTY LTD.txt,Q2509W191,HIGH,FOUND
2509W196-2526W029R2-1\PRICE-2526W029R2-1  - ADAGE OFFER_UTCL BASANT NAGAR CEMENT WORKS .txt,1,HIGH,FOUND
2509W205- 2526W029R2-2\PRICE-2526W029R2-2  - ADAGE OFFER_UTCL BASANT NAGAR CEMENT WORKS .txt,2,HIGH,FOUND
2509W211-2526W030R1\PRICE-2526W030R1  - ADAGE OFFER_UTCL BASANT NAGAR CEMENT WORKS .txt,2526W030R1,HIGH,FOUND
2509W212\Q2509W212 OFFER FOR TDLS GAS ANALYSER SYSTEM FOR CARBON BLACK.txt,Q2509W212,HIGH,FOUND
2509W214\2509W214 OFFER FOR H2 GAS ANALYSER SYSTEM FOR JJLEIN ENGINEERING.txt,2509W214,HIGH,FOUND
2509W218\Q2509W218 OFFER FOR SPM ANALYSER SYSTEM FOR OIL NMDC PROJECT.txt,Q2509W218,HIGH,FOUND
2509W219\2509W219 TECHNO COMMERCIAL OFFER FOR CEMS GAS ANALYSER SYSTEM FOR DEONAR PROJECT.txt,2509W219,HIGH,FOUND
2509W220\PRICE- 2509W220 - UTCL SEDAM-TECHNICAL OFFER FOR CEMS GAS ANALYSER SYSTEM .txt,2509W220,HIGH,FOUND
2510G065\Q2510G065 OFFER FOR CO GAS ANALYSER SYSTEM FOR UPL LTD.txt,Q2510G065,HIGH,FOUND
2510G066\Q2510G066_TECHNICAL_OFFER_FOR_O2_GAS_ANALYSER_SYSTEM.txt,Q2510G066,HIGH,FOUND
2510W237\Q2510W237 OFFER FOR GAS ANALYSER SYSTEM FOR UTCL GUJARAT CEMENT WORKS.txt,Q2510W237,HIGH,FOUND
2510W242\PRICE OFFER-2510W242- ADAGE OFFER_JSW DOLVI- SMS2 O2 & H2O SYSTEM.txt,2510W242,HIGH,FOUND
2510W243\2510W243- AMBUJA MARATHA CPP CEMS SYSTEM .txt,2510W243,HIGH,FOUND
2510W249\Q2510W249 OFFER FOR GAS ANALYSER SYSTEM FOR THERMAX FGD PROJECT.txt,Q2510W249,HIGH,FOUND
2511W250\2511W250 -ADAGE OFFER- UTCL MAIHAR- CO-GAS ANALYZER SYSTEM.txt,2511W250,HIGH,FOUND
2511W251\TEC-PB1771-2511W251- ADAGE OFFER_THERMA .txt,2511W251,HIGH,FOUND
2511W252\2511W252- UTCL RAJASHREE CEMENT- CEMS SYSTEM- LINE 4 TPP.txt,2511W252,HIGH,FOUND
2511W256\2511W256- ADAGE OFFER_AMNS HAZIRA UNIT- HCL SYSTEM.txt,2511W256,HIGH,FOUND
2511W259\2511W259_ADANI CEMENT _CAAQMS_TECHNICAL OFFER R02.txt,2511W259,HIGH,FOUND
2511W261\Q2511W261 TECHNICAL OFFER FOR CEMS GAS ANALYSER SYSTEM FOR PACIFIC IRON LTD NIWARI PROJECT.txt,Q2511W261,HIGH,FOUND
2512G069\2512G069 H2 Analyser system.txt,2512G069,HIGH,FOUND
2512W266\Q2512W266 TECHNICAL OFFER FOR GAS ANALYSER SYSTEM FOR L&T MUMBAI.txt,Q2512W266,HIGH,FOUND
2512W273\Q2512W273 OFFER FOR CEMS GAS ANALYSER SYSTEM FOR CECO ENVIRONMENTAL.txt,Q2512W273,HIGH,FOUND
2512W275\Q2512W275 TECHNICAL OFFER FOR GAS ANALYSER SYSTEM FOR THERMAX.txt,Q2512W275,HIGH,FOUND
